Word,Frequency
jajeczna,2
śledziem,17
nowe,4
smakowe,1
otwarcie,1
pastę,4
jajeczną,2
mało,2
oprze,1
kanapce,1
takim,1
dodatkiem,1
wszyscy,1
uwielbiają,1
chociaż,1
czasami,3
niej,2
zapominają,1
prosta,3
wykonania,1
chce,2
wierzyć,1
kwadrans,1
może,3
powstać,1
smacznego,1
wędzonych,2
wędzona,1
ryba,14
uwodzi,1
smakiem,2
niejednego,1
oczywiście,2
najlepsza,1
jedzona,1
palcami,1
dopiero,3
przyniesiona,1
sklepu,2
nadmorskiej,1
budki,1
kilka,9
prostych,1
zabiegów,1
zamieni,1
doskonałą,2
posmakuje,1
bezpośrednio,1
pieczywie,2
wzbogaci,1
kanapkę,9
plastrem,2
twarogu,4
pomidora,2
smalczyk,3
śledziowy,14
propozycja,1
sybarytów,1
którzy,2
zawsze,7
przynajmniej,1
parzonej,1
szynki,2
macie,1
dzień,3
musicie,1
poczekać,1
wielkanocy,1
przepis,3
wypróbować,1
właśnie,2
pomysłu,1
będziecie,1
kupować,1
całej,1
niekrojonej,1
hummus,3
przyrządzana,1
gotowanych,1
przetartych,1
nasion,1
ciecierzycy,2
roślin,1
strączkowych,1
popularna,3
bliskim,1
wschodzie,1
afryce,1
północnej,1
znana,1
kuchniach,1
kaukaskich,1
skoro,5
lubi,5
wersję,2
śledziową,3
przyjmą,1
otwartymi,1
rękoma,1
tatar,4
maćka,2
kuronia,2
maciek,1
kuroń,3
lubił,1
wigilię,1
całe,2
święta,1
zwłaszcza,1
wpadali,1
znajomi,1
zaletą,1
prostota,1
krótki,2
czas,7
robienia,1
maciej,1
odwiedził,1
2009,2
nielicznych,1
gości,2
przyszedł,1
drewno,1
lasu,1
nosić,1
skwitował,1
uznaniem,1
zostało,2
wtedy,3
podane,1
gęsiną,2
inspirowany,2
przepisem,11
adama,2
faleńskiego,2
adam,1
wychodzi,1
pierwszym,2
razem,6
zawzięty,1
dopiąć,1
swego,1
gęsinowego,1
tatara,1
