Word,Frequency
jakich,2
pora,1
dostarcza,2
poziomki,11
cukier,34
melonu,1
miód,3
plastrach,1
kwaśna,6
wiejski,2
serwatce,6
soli,262
owoców,25
orzechy,32
włoskie,6
obrane,42
skórki,88
rozcięte,1
połowy,32
napój,5
podwieczorku,2
wody,415
biszof,1
wszelkie,15
chłodniki,1
także,85
dobre,60
wykwintne,1
makaroniki,3
marengi,1
babka,11
dobra,17
podo,1
obiady,2
rozdział,34
rosoły,1
zupy,45
mięsa,207
wołowego,30
musi,52
koniecznie,21
stęchłe,1
przechowywać,10
długo,129
piwnicy,40
lodzie,19
klarowny,7
smaczny,17
dobroć,6
rosołu,96
mniejszej,2
większej,7
kości,72
dają,18
rosołowi,2
tęgości,2
wygotowuje,1
raczej,3
tłuszcz,18
smak,49
mieć,72
osół,5
mocny,6
bierze,36
kilo,246
dostateczne,2
liczy,1
litry,23
litra,238
wystawniejsze,1
smaczniejszy,8
dobrać,34
starszą,2
kurę,20
ogóle,6
mieszanego,1
powinien,39
gotować,312
blisko,4
długość,5
rosołów,1
podlewać,5
podlany,1
otować,23
godzinę,93
najsmaczniejszy,3
gotowany,9
polewanym,1
garnku,18
glinianym,2
umyte,1
zimnej,81
wodzie,248
moczone,2
traci,9
garnek,36
nalewa,11
miękką,8
zanadto,13
przeso,1
lony,1
niesmaczny,3
gotuje,49
wolnym,151
ogniu,259
szumując,17
dopóki,80
szum,3
owiny,2
przestaną,2
pokazywać,5
następnie,247
odstawia,1
ognia,43
zalewa,6
łyżką,238
tłustość,14
pozłotą,1
oddzieli,1
natychmiast,19
pokaże,5
wierzchu,147
leży,8
starannie,46
zebrać,13
niestrawną,1
poczym,45
wstawia,8
znowu,18
ogień,28
niech,152
dalej,32
wolno,26
pożywniejszy,1
lubo,1
szumowania,2
coraz,8
bywa,6
zalecanym,1
dodaje,19
potem,357
korzonki,21
dwie,146
marchewki,8
mały,15
seler,7
trochę,579
pory,7
kalarepy,6
sparzonej,4
poprzednio,131
włoskiej,7
kalafior,6
wrzucić,223
ziarnek,19
czarnego,2
angielskiego,23
pieprzu,124
mało,20
popsuć,3
smaku,131
loru,1
ciemniejszego,2
niego,84
cebulę,48
upieczoną,8
blachą,4
dodać,414
grzybek,6
suszony,6
włoszczyzny,68
parę,219
minut,200
wydaniem,39
odstawić,33
żeby,257
sklarował,3
resztę,31
tłustości,11
przelać,40
sitko,57
wazy,64
którą,53
dzie,4
przygotowane,15
dodatki,7
odzi,3
sztuka,10
była,59
dobrą,15
razu,19
gotującą,44
wodę,116
dodania,3
okłada,2
dobrego,18
wziąć,346
pokrajać,398
kawałki,179
włożyć,545
rondla,76
podłożyć,14
kawałek,132
łoju,13
upieczonych,2
cebul,20
podrumi,2
puści,8
siebie,25
brunatny,7
dolać,52
troc,1
ochę,33
podgotował,1
podlać,45
tyle,95
sklarować,12
drobno,220
rozmaitej,6
miękko,45
rosole,37
wydaniu,58
kluseczki,20
według,5
potrzeby,14
litrów,8
wkłada,5
garnka,18
glinianego,2
polewanego,1
zwolna,15
gotowało,5
zbiera,1
szumowiny,5
jarzyny,34
ykrywa,1
szczelnie,33
przerwy,4
godzin,81
ugotowany,22
zupę,48
mięsną,3
silną,1
której,32
znajduje,6
mocna,1
yjemna,1
zyna,1
koniec,35
pożywny,3
kawał,17
najlepszy,11
ugotuje,12
wołowych,7
filiżanek,4
deka,554
kostki,30
razy,133
zgotuje,2
ystej,2
trzeba,236
masła,573
grzanki,42
jaja,96
koszulkach,3
cielęciny,54
kury,30
różnicą,8
cielęcina,10
półtory,1
najwi,1
ęcej,4
dwóch,33
młody,10
starej,1
przeszło,2
czasem,4
dłużej,34
przecedzony,5
zasypuje,1
drobną,18
kaszką,4
kasz,4
gęsto,36
masłem,380
wystudzeniu,31
kraje,19
zalać,272
lanymi,1
kluseczkami,4
ciel,7
ęciny,1
robi,51
biały,27
żółty,10
consommé,2
royal,1
zwykły,7
następującym,40
dodatkiem,1
licząc,10
żółtka,116
ubić,116
mocno,128
kwaterką,17
słodkiej,35
śmietanki,53
szczy,2
gałki,35
muszkatołowej,24
masę,160
foremkę,5
blaszaną,10
wysmarowaną,35
asłem,22
wstawić,211
rondel,96
kipiącą,4
parze,29
przykryciem,31
dziny,2
ugotowaniu,30
ostudzeniu,28
wyjąć,180
foremki,9
paski,34
plasterki,78
przygotowanym,6
knedelki,2
wykwintnych,5
ugotować,295
zwykłym,8
sposobem,97
dodaniem,21
odejdzie,1
poobierać,3
posiekać,28
rozg,1
funta,6
ryżu,45
sparzonego,4
przedtem,13
utłuc,23
moździerzu,13
mięsem,24
przefasować,74
